Tweet_ID,Date,Author,Mentions_SpireJim,From_SpireJim,Text,Retweets,Likes,Replies
1708462023489540305,Sun Oct 01 12:41:02 +0000 2023,SpireJim,False,True,"An explanation on the Airtel, MTN MM issues … https://t.co/4M09b5ZTwX",140,545,44
1955015611160891672,Mon Aug 11 21:16:58 +0000 2025,yasikak,True,False,"@SpireJim @Airtel_Ug #StopAirtelTheft

 Even this dumb statement from Airtel Uganda has not addressed the theft of $1,100 (almost 4 million shillings) stolen from my phone and cashed through a number registered to Stephen Tenywa. This phone number is still active and could be used to steal from other https://t.co/3IqcbX01Tu",14,61,7
1953350854599229840,Thu Aug 07 07:01:49 +0000 2025,SpireJim,False,True,"DAY 1 of the @Airtel_Ug campaign 📢📢
————————

To start, could you suggest some of the measures we can take to make @Airtel_Ug responsive to customers’ concerns over Mobile Money thefts that suggest involvement of insiders or system laxity. What strategies can we use to stop https://t.co/vtFQZZMz49",693,3073,377
1954238277164142615,Sat Aug 09 17:48:07 +0000 2025,yasikak,True,False,@SpireJim @Airtel_Ug #StopAirtelTheft https://t.co/3Hok8rVGuj,20,80,1
1953930797624492074,Fri Aug 08 21:26:19 +0000 2025,SpireJim,False,True,"How do these thieves instantly access customers’ MM passwords!!! Are all these testimonies fabricated or cases of customer carelessness! Who is supposed to protect Ugandans/customers from such things!!! @Airtel_Ug @UCC_Official @BOU_Official 
#StopAirtelTheft https://t.co/40Dkf6soIu",240,861,72
1954548887210909966,Sun Aug 10 14:22:23 +0000 2025,AdLegalug,True,False,"@SpireJim @Airtel_Ug Are Airtel Loan internet Bundles Disappearing Faster Than They Should?

Read publication: https://t.co/XHYeSseZLV

We’re building a case, and we need your proof. Follow the simple steps in our guide above and send us your evidence.
@Airtel_Ug @UCC_Official @SpireJim @UCC_ED https://t.co/W1Vnyb6lvN",3,7,1
1958036361178480665,Wed Aug 20 05:20:21 +0000 2025,SpireJim,False,True,"Dear @Airtel_Ug 
Please up thoroughly. Way to go. We shall return to assess the service changes from the customer side
👏🏽👏🏽👏🏽 https://t.co/a68LU5NCT9",144,1000,65
1953719700241715218,Fri Aug 08 07:27:29 +0000 2025,SpireJim,False,True,"DAY 2 - #StopAirtelTheft 
———————

As we consider more measures to take for @Airtel_Ug to be more responsive and for @UCC_Official and @BOU_Official to do their regulatory work, today: SHARE YOUR EXPERIENCES ON HOW @Airtel_Ug RESPONDED WHEN YOU REPORTED MOBILE MONEY FRAUD TO THEM https://t.co/e1L3ZQaL13",442,2032,215
1954790700286984464,Mon Aug 11 06:23:15 +0000 2025,SpireJim,False,True,"DAY 5: Anti-theft Airtel campaign

——————

Today;

1. On whatever @Airtel_Ug and @airtelmoneyug tweet, comment under demanding for commitments to stop mobile money theft. Also post there screenshots of experiences of cheated Ugandans.

2. Call their toll-free line (100 on airtel, https://t.co/3IdI8NsUSV",913,3879,259
1954061039462429063,Sat Aug 09 06:03:51 +0000 2025,RiseNewsUganda,True,False,"Illicit Financial Flows: Several Ugandans have vowed to organize a march to Airtel offices as the #StopAirtelTheft campaign continues.
@Airtel_Ug @airtelmoneyug @MDAirtel_UG @AntiGraft_SH @SpireJim #RiseNewsUganda Network https://t.co/vv01U38sXy https://t.co/P35R3PSZ6L",1,7,0
1954072033936933048,Sat Aug 09 06:47:32 +0000 2025,FidelisUgKgwa,True,False,"@SpireJim @Airtel_Ug Me I decided to stop using aitel money for mobile money transactions. You can develop a heart attack.
Let's all boycott AIRTEL MONEY for the 15days they gave us to respond to @SpireJim matter, if no refund in 15days we push to 30days!
That's the language they might understand",4,37,0
1954088698993058269,Sat Aug 09 07:53:45 +0000 2025,SpireJim,False,True,"PIN access by thieves!
#StopAirtelTheft https://t.co/Omoo60rWJt",214,972,82
1954266045528907897,Sat Aug 09 19:38:28 +0000 2025,DanzelAlex,True,False,@SpireJim @Airtel_Ug How @UCC_Official  @BOU_Official  @PoliceUg are regulating @Airtel_Ug thugs https://t.co/MnknU1q6p6,5,14,1
1954065581205774375,Sat Aug 09 06:21:53 +0000 2025,SpireJim,False,True,"DAY 3: 

Can we hear more of your experiences of MM theft. Thanks to the @Airtel_Ug insiders who have cooperated to volunteer information about this abominable theft from innocent customers with impunity. I will share more later. #StopAirtelTheft https://t.co/woiaVB7rfr",373,1862,158
1954858473474122190,Mon Aug 11 10:52:34 +0000 2025,NiwaRodgers,True,False,"Dear @Airtel_Ug,

Following up on Dr. @SpireJim’s #StopAirtelTheft awareness campaign, I have decided to discontinue using your mobile and network call services.
It has been a long journey since 2015,and I thank you for your services. However, your actions have shown a lack of",147,788,104
1958057234383933762,Wed Aug 20 06:43:18 +0000 2025,davidofug,True,False,"@SpireJim @Airtel_Ug Wonderful job. Tweyanziza ssebo

I hope you will chip into the the stress Ugandans go through for paying online services in USD or Euroes yet those online services like X and Facebook don't monetize Ugandans. They're happily making Ugandans a slaves and milking them through",1,14,2
1954260574604247121,Sat Aug 09 19:16:44 +0000 2025,SpireJim,False,True,"Could all these people be telling lies? Could @Airtel_Ug be silent because they knew all this? 
#StopAirtelTheft https://t.co/GCwkVJjX6t",189,870,73
1955718844393148538,Wed Aug 13 19:51:22 +0000 2025,gssembajjwe,True,False,@arathon_k @SpireJim @Airtel_Ug Airtel has a moral duty to inform it's customer about the reissue of the SIM card,0,2,0
1954539654683709778,Sun Aug 10 13:45:41 +0000 2025,Iam_djnash,True,False,"@SpireJim @Airtel_Ug I tried replacing my line after phone being stolen. Reported to them and informed them about the money on my mm, they said my number is not registered in my names yet mobile money is registered in my names. Luckily found the lost phone after a week and my money was gone",0,5,0
