provider,clean_text,amount
airtel,spirejim airtelug airtelug you deducted my money 250k and didnt transfer it to my bank account my calls you have been telling me its network and working on it wait when i come to your service center all tables will shake,250000.0
airtel,spirejim airtelug airtelmoneyug airtelug  a transaction was made on my phone without my authorization and i lost 803500 and  urequested me to come to lugogo where i have not been helped,803500.0
mtn,spirejim i once sent 2m from my airtel  to my mtn line but the money was deducted from my airtel  but it never reached mtn when i called mtn i was told to consult with airtel when i called airtel they told me they will investigate its now past 2 years never got my money back,2000000.0
airtel,"spirejim airtel olemwa i lost my ugx 1143000  from my stolen mobile money phone 

thief0754864072 lucy lumaro used lt 5mins after grabbing my ka phone from shop despite calling airtel customer and explaining the scenerio in the shortest time they referred me to bugolobi airtelug",5000000.0
airtel,spirejim airtelug airtelmoneyug stopairteltheft you thought stealing my 200k and your own customer service staff told me to work so hard to stop crying for 200k you would go unpunished,200000.0
mtn,"spirejim airtelug i honestly believe airtel is more of a tingambirwa ate his eye for us we left it to lyca for data and mtn 

you take a quick loan of 20k and suddenly they demand 28k",20000.0
airtel,niwarodgers airtelug spirejim they have proved to be very arrogant i cant be spending 105k monthly sometimes do transactions worth a few million shillings in a month and probably airtel gets around 250k from me and then consume their arrogant stand these cries have been going on to hell with airtel,105000.0
airtel,spirejim i read this post today morning i got scared amp withdrew all my 5m on airtel money  hey airtelug it was nice dealing with you bro,5000000.0
airtel,spirejim airtelug airtelmoneyug imagine buying airtime of 200k and they say nothing we can do thanks for calling airtel uganda and please continue using our services have a good day embwa ezo even on agents they cant reverse airtime,200000.0
airtel,airtelug airtelugmd agoracfr airtelmoneyug spirejim i borrowed up to 1m from wewole and intended to repay it in installments however it feels like theres a lack of patience and trust because the moment the money was deposited into my account it was deducted without my consent did you think i wasnt planning to pay it back,1000000.0
airtel,spirejim airtelug i once had over 15m as airtime on my airtel line which i wanted to convert into cash for mobile money they refused then i wanted to send it as airtime to those in my circles they refused m sijui their policy restrict on bulk airtime sharing to hell wz airtelug,15000000.0
airtel,"spirejim airtelug i thought airtel would learn from your tweets and reform naye was

a friend sent 10k naye the money was deducted and didnt reach the target on saturday but i engaged airtel on her behalf talina twitter but imagine till today it hasnt been resolved 

meanwhile customer care",10000.0
airtel,airtelug airtelugmd agoracfr airtelmoneyug spirejim i should also say my shs70k disappeared in thin air and i was told the transaction had been reversed in fact i received the reversal message but the money didnt reflect,70000.0
mtn,"on aug 8 2025 at 1134 am i received 35000 ugx from standard chartered bank 0780062320 on my mtn mobile money likely a mistake senders number is off and the bank didnt help if this is yours please contact me to return it  dm spirejim
stanchartuga stanchartke",35000.0
airtel,spirejim airtelug meanwhile my nigerian friend forgot his phone in an uber and all his mobile money was taken plus a loan of 23k how did they get the pin and all that some things seriously wrong with this network,23000.0
airtel,"faizafabz uedcltd spirejim when youre done with airtel lets test this and see 

as a load 10k at a time guy i could swear this is true the metering has changed significantly",10000.0
mtn,initram14 spirejim uedcltd airtelug truth is its much needed villages are in darkness meter connection teams requesting 100k to 150k for a connection clients paid for already poles leaning in swamps and teams saying they dont step in mad requesting communities to chip in and pull poles,100000.0
mtn,spirejim airtelug when it comes to mobile money at least mtn could be better but still dont keep amounts above 500k on line for more than a month just deposit when you are about to pay for a service or good get money and transfer to bank accounts do not use airtel money for large transactions,500000.0
mtn,spirejim airtelug 2nd time we had 45m airtel amp 2m mtn a mufere came did a transaction on mtn youd think thats the pin he saw if that was the issue he stole the phonewe notified both airtel amp mtn within 2 mins to block the lines airtel confirmed the money was still there and theyll,45000000.0
airtel,spirejim airtelug they took my 50k,50000.0
airtel,"spirejim airtelug balowozza tuli mbuzi bwebatulabako amattu 
let them come out and say it straight that they never took my 12m and all the others that have testified lets add more wood to the fire",12000000.0
mtn,spirejim airtelug i have shared here before how i lost 200k just as i was withdrawing it on entering my pin i reveive a message telling me i have withdraw yet the mm lady tells me she hasnt received any message and so she cant give me the money all attempts to be helped by aitel failed,200000.0
