Tweet_ID,Date,Username,Text,Complaint_Type,Mobile_Network,Retweets,Likes,Replies
1742602107029778763,Wed Jan 03 17:41:32 +0000 2024,"Olumuyiwa Igbalajobi, Ph.D","Part 3:

Please SIR, I want to make emphasis on this again.. Nigerians are very very much here and they need help some have spent over 5years without judgement and everything we do here is money.. We pay money to sleep, we pay money to bath, we pay money to use the toilet, we pay https://t.co/rfg8LyMGbF",Poor Customer Service,Unknown,1824,1197,261
1742527210538275092,Wed Jan 03 12:43:56 +0000 2024,Flora Limukii,"Hii Nairobi pay before delivery is a scam 😂
Karibu mnipore mwaka mpya 😭
Heeh!!

So this guy dms me to get a bag from him anasema nilipe kwanza but since sijakuja hii town jana, i sent someone at their hot air shop in Ruiru only to find out hakuna shop kaa hiyob😂

Bye Kenya 😭 https://t.co/24J7LgTJfm",General Complaint,Unknown,145,726,181
1744146354987815020,Sun Jan 07 23:57:50 +0000 2024,Ibbo D Mandaza,"What a horrible experience with Kenya Airways and , of course, Kenya itself which introduced a new (paid) visa regime for all arrivals. Chaotic airline that caused last minute flight changes and delays across the region and beyond; not to mention incompetence at the transfer",General Complaint,Unknown,355,686,132
1743617887745487098,Sat Jan 06 12:57:53 +0000 2024,KWEKU THE HUSTLER NWA PETER OBI,"Please, also remember the people of the middlebelt who are going through some really horrible times with the government turning a blind eye to their plight. Please donate to them to help people who have been displaced from their homes by terrorism

Naira Account 
MIDDLE BELT",Poor Customer Service,Unknown,292,288,3
1742550225502257442,Wed Jan 03 14:15:23 +0000 2024,KWAJO- Social Issues Campaigner,"I need someone from @YourGuinness to call me TODAY. 

Visited an estate and cannot believe the way residents have been treated who are having to live is nasty conditions. 

I asked one member of staff that wasn’t helpful the following:

 ‘if a resident dies in their home tonight",Poor Customer Service,Unknown,175,454,14
1743680956261646523,Sat Jan 06 17:08:30 +0000 2024,MONKELE,"But why are we like this in this country? This particular fuel station at my area keeps trying to scam customers. Imagine this one today, tried to start selling fuel for me with 5k previous sale already on the machine. Odindi 5k!!!! And they always do this",General Complaint,Unknown,35,320,47
1743045830519431489,Thu Jan 04 23:04:44 +0000 2024,Uncle Temie,"@Morris_Monye Throwback to when Agodi gardens charged me 250k instead of 25k in 2019. Took them 6months to refund. If I don’t calculate, Satan will make mess of me",General Complaint,Unknown,47,770,34
1742875982514500076,Thu Jan 04 11:49:49 +0000 2024,Madam President,Woke up to the news of 750 flight tickets of Ethiopian Airlines being cancelled by Somali people across the world. The airline lost $300k so far per travel agency reports.,General Complaint,Unknown,28,229,15
1742054395590615207,Tue Jan 02 05:25:08 +0000 2024,Mwangi,"BREAKING: #Uganda sues #Kenya at the East African Court of Justice over fuel supplies.

#Ugandan leader Yoweri Museveni says his country is being ""cheated"". 

M7 gave a pointed dig at #Kenya during his new year address over trade barriers. https://t.co/em0cDz0xEW",General Complaint,Unknown,169,360,59
1742470814195147061,Wed Jan 03 08:59:50 +0000 2024,Woye,"Ibadan discos received the highest number of Complaints in Q3, 2023. 

2:   Benin, Jos and Ikeja experienced % complaints reduction. 

3:    People complained about Yola, Kano and Port Harcourt discos. 

4:    Metering, billing and service interruptions were the issues people",Poor Customer Service,Unknown,104,306,77
1742593697634541652,Wed Jan 03 17:08:07 +0000 2024,MUHAMMAD ONYANGO,"The honesty of our Somali brothers should really be emulated by most Kenyans

I forgot one of my phones in a restaurant in South C after meeting the owner

Before i could even realize i had lost it, he was already calling to remind me that i had left my phone and he sent a rider.",General Complaint,Unknown,24,200,44
1744060821091578228,Sun Jan 07 18:17:57 +0000 2024,Writer | Climber | Mother of Dragons | Kas Ka Gan,"An alleged thief, robber of public coffers, making threats against the judiciary, after Chief Justice Mutunga sent her packing over 2 billion scandal. The irony is brighter than a Noonday sun.",General Complaint,Unknown,327,751,12
1742448162336317449,Wed Jan 03 07:29:49 +0000 2024,Wanjohn D-Mecho,"I had said I wasn’t going to be active with work until at least January 8 this year, I needed to rest and relax, I had forgotten I gave someone appointment for pre-purchase inspections on January 1 somewhere in Oyo State, I was honestly going to refund the money since 30th of Dec https://t.co/dOax9jPUjm",General Complaint,Unknown,37,200,14
1744092793595953497,Sun Jan 07 20:25:00 +0000 2024,OPEOLUWA 😎😎,"Ibrahim Magu was alleged to have mismanaged  Recovered funds that were looted, he was asked to step aside pending Justice Salami panel investigation. He was later exonerated by the court but never returned. 

But Betta Edu must not step aside because it’s a “mere allegation” 😂. https://t.co/rFghUj5kVa",General Complaint,Unknown,109,280,64
1744108956069310649,Sun Jan 07 21:29:13 +0000 2024,Charms,"The people were also very greedy, always making sure they extort you cos our two hotels added extra $$ to our bill in the name of exchange rate, the last one was so blatant, they had to refund $40 🤣🤣",General Complaint,Unknown,137,1094,11
1743207375941624081,Fri Jan 05 09:46:40 +0000 2024,Kwena Molekwa,"BREAKING NEWS: A SPAZA SHOP WORKER FROM MALAWI IN TEARS AFTER FOUND IN POSSESSION OF A STOLEN PHONE FROM A HOUSE ROBBERY IN EXTENSIONS 71

A  spaza shop owner from Malawi who told Sešhego Community Against Crime And Gangsterism that, ""he cannot speak english and sepedi was https://t.co/vQ8NQUfen0",Unauthorized Deduction,Unknown,179,370,83
1743337620573192275,Fri Jan 05 18:24:13 +0000 2024,Citizen TV Kenya,"Pension scheme fraud:

Auditor General says Ksh67B stolen through fake payments.

Audit report: Ksh44.07B irregularly paid to 221,590 claimants.

29,387 claimants with shared accounts received Ksh21B #FridayNight @lillian_muli https://t.co/h81bxoPRJb",Unauthorized Deduction,Unknown,297,497,110
1743567382734680198,Sat Jan 06 09:37:12 +0000 2024,rin ✿,"unfortunately, the moa branch just insisted on processing the refund because there's no way for them to validate our tickets anymore as they have been deemed void. we asked them to coordinate with lnph but they also insisted that it would be very difficult to have this resolved.",General Complaint,Unknown,6,205,1
1742082114089079019,Tue Jan 02 07:15:16 +0000 2024,Goddie,"Uganda has sued Kenya at the East African Community Court of Justice over fuel prices. 

Ugandan President, yoweri museveni, claims that Uganda is being cheated by Kenya on fuel prices. https://t.co/gyWSG5aam7",General Complaint,Unknown,42,336,9
1743549515062251730,Sat Jan 06 08:26:12 +0000 2024,Omotayo Williams,"@AdaAnambra2023 My well respected sister. This distraction strategy cannot work. 

The FG regulatory states that “Personal money shall in NO CIRCUMSTANCE  be paid into a private bank account. If this is done, it is done with a fraudulent intention”

More than half a billion was paid into the https://t.co/Ty94mQvp08",Unauthorized Deduction,Unknown,132,425,69
1741730194929381853,Mon Jan 01 07:56:52 +0000 2024,Michael Achimugu,"RE: CANCELLED FLIGHT

P4 7194 PHC STD 1658 HRS

Flight cancelled yesterday for technical reasons and passengers were provided hotel accommodation by the airline. They were ferried to the airport this morning and checked in. 

Flight then delayed for 50 mins due to bad weather at",General Complaint,Unknown,166,308,82
1742223471642362095,Tue Jan 02 16:36:59 +0000 2024,𝔸b𝕒𝕫𝕫,"Mr Usman @olajuwonraptor was defrauded of 9.6Million naira and @moniepointng has refused to list the recipients or acknowledge that they will help him recover his money.

I am calling out @moniepointng to respond to this matter ASAP. https://t.co/nmU1XTVG5l",Unauthorized Deduction,Unknown,96,160,69
1742966535616892983,Thu Jan 04 17:49:39 +0000 2024,She Long,"More than 1500 students cannot afford to go back to school in Mangu LGA either because they've lost their parents or their source of livelihood is gone....
Support the Middlebelt Fund raising. You can specially decide to sponsor a child 🙏🙏🙏  

This is the GoFundMe account for",Poor Customer Service,Unknown,444,426,8
1742931790309081344,Thu Jan 04 15:31:35 +0000 2024,Aisha Yesufu,"Is it only Dangote you think lost money? We all lost money! 

Our naira converted to dollars meant we lost close to 50% value of our wealth.",General Complaint,Unknown,761,2649,72
1743545707762536495,Sat Jan 06 08:11:04 +0000 2024,Ada Anambra,"Breaking News

EFCC: Halima Shehu Confesses to removing 44 Billion Naira from Government account in 5 days, says it was in error. 39.8 Billion Naira recovered by EFCC so far.",System/Network Issue,Unknown,643,1861,510
1743107979270828470,Fri Jan 05 03:11:42 +0000 2024,Daily Nation,"State lost Sh67bn in irregular pension payments, audit shows https://t.co/RIBPANi0q4",General Complaint,Unknown,252,859,77
1743375930683195413,Fri Jan 05 20:56:26 +0000 2024,CITI FM 97.3,Togbe Afede XIV writes – Bank of Ghana has failed us #CitiNewsroom  https://t.co/aWygrYfGVD,General Complaint,Unknown,194,675,26
1742194719461896491,Tue Jan 02 14:42:44 +0000 2024,AIDEN KALIISA,"BobiWine recorded himself while giving out food to street children around Kampala. That guy is after money from the west. 
He has delayed our development since 1986, and he stole iron sheets.
This guy is a problem to us he even ate NSSF money. U remember the Temangalo saga,that https://t.co/qMefpZ43oa",General Complaint,Unknown,147,997,164
1743559103685800309,Sat Jan 06 09:04:18 +0000 2024,benny.,"EFCC revealed that Halima Shehu confesses to removing 44 Billion Naira from the government account in just 5 days, saying it was all an error. how do you even say moving such large amount of money was an error? what a country, sigh.",System/Network Issue,Unknown,54,276,12
1741742194598281277,Mon Jan 01 08:44:33 +0000 2024,Big Based Chad,200k was mistakenly sent to this guy's Opay account and he has refused to do a refund. Instead he's blocked the owner of the money. His contact details are there. Please do wish him a happy New year from Twitter. It costs nothing. Kindly Retweet for a wider reach,Unauthorized Deduction,Unknown,801,568,46
1742821619213517077,Thu Jan 04 08:13:48 +0000 2024,Africa Independent Television,N37.1 Billion Naira Fraud: Former Humanitarian Minister shuns EFCC’s Invite https://t.co/IDs7mmFXcZ,Unauthorized Deduction,Unknown,94,358,35
1743480311999000993,Sat Jan 06 03:51:13 +0000 2024,With All Due Respect,Togbe Afede XIV writes – Bank of Ghana has failed us. https://t.co/8GxQmjIuRo,General Complaint,Unknown,44,385,21
1743591841390301542,Sat Jan 06 11:14:24 +0000 2024,Nigeria Stories,"From Report reaching us, 
“Halima Shehu allegedly confesses to removing 44 Billion Naira from Government account in 5 days, says it was in error. 39.8 Billion Naira has reportedly been recovered by EFCC so far.”

What’s your take on this ? https://t.co/CPlKJcYPkD",System/Network Issue,Unknown,300,1076,284
1743408932436259281,Fri Jan 05 23:07:35 +0000 2024,MBOTE,"RDC: Le gouverneur de la ville-province de Kinshasa, Gentiny Ngobila Mbaka invalidé pour fraude 
https://t.co/TjKdzx3KDt",Unauthorized Deduction,Unknown,44,527,50
1743546027624251664,Sat Jan 06 08:12:21 +0000 2024,Pastor Okezie J. Atañi,"Breaking News

EFCC: Halima Shehu Confesses to removing 44 Billion Naira from Government account in 5 days, says it was in error. 39.8 Billion Naira recovered by EFCC so far",System/Network Issue,Unknown,96,326,100
1743577123275616524,Sat Jan 06 10:15:54 +0000 2024,JayB,"BREAKING NEWS 

EFCC: Halima Shehu Confesses to removing 44 Billion Naira from Government account in 5 days, says it was in error. 39.8 Billion Naira recovered by EFCC so far.

Look at this shameless woman. 

We are keenly awaiting the suspension of @edu_betta. Tit for tat! https://t.co/CLWsv0Deho",System/Network Issue,Unknown,144,459,147
1742459962020814868,Wed Jan 03 08:16:42 +0000 2024,Nigeria Stories,"The accounts clerk is fooled into thinking it is a legitimate request from the supplier - and, with a single click of a mouse, vast sums of money are lost.
But the Premiership scam fell apart when the UK banks refused to pay into the Mexican account. ""Brother I can't send from UK",General Complaint,Unknown,14,312,10
1743684618161717672,Sat Jan 06 17:23:03 +0000 2024,Zagazola,"Hamman Bwala was a graduate of UNIMAID. He was kidnapped by Boko Haram terrorists along the Biu Maiduguri Highway.

We pray for his safe return https://t.co/rOeMPmhwOg",System/Network Issue,Unknown,78,230,22
1743615145647956015,Sat Jan 06 12:47:00 +0000 2024,Dr Dípò Awójídé,"Fraud of N44 Billion Naira in just one government department, in the midst of this suffering and hardship? We need to improve government systems and processes, block leakages, and make it more difficult for officials to steal. I hope EFCC will recover all the money.",Unauthorized Deduction,Unknown,139,427,64
1743996427099849156,Sun Jan 07 14:02:04 +0000 2024,Jaypee,Three Women Linked to N84.1bn Fraud in Five-year-old Humanitarian Ministry https://t.co/6gAb1lzSc1,Unauthorized Deduction,Unknown,183,213,10
1743245414520762402,Fri Jan 05 12:17:49 +0000 2024,This ogaji sef,"The kidnappers are requesting for a sum of 60million and that’s a lot of money to raise in this hard time for anybody.

Please and please we'II be needing your assistance to support with any little thing we can raise. 

You can donate to the account details below:  [1/2]",Poor Customer Service,Unknown,704,221,2
1743710692098625983,Sat Jan 06 19:06:40 +0000 2024,Dr. Joseph Onuorah👍🇳🇬,"I join other Nigerians to ask that Betta Edu stand down from her ministerial position pending the investigations into the motive surrounding payment of government monies upto 585m naira into fictitious private accounts. 

This MUST never be swept under the carpet. 

The EFCC",System/Network Issue,Unknown,100,198,19
1742951442720112802,Thu Jan 04 16:49:41 +0000 2024,JaPrado.,A friend of mine once got scammed by these so called high spending Nigerian men. The man would send her huge amounts of money every week and her rent was about 60k monthly. The man always occasionally borrowed her money like say 100k and returned double. Kumbe he was keeping,General Complaint,Unknown,158,793,46
1743377040517075134,Fri Jan 05 21:00:51 +0000 2024,Káyọ̀dé Ògúndámisí 🇳🇬,"Paying over 500 Million Naira of public  funds or any amount into private accounts of  public employees is nothing but a signpost for fraud. If this is currently legal, it needs to change. 
It gives elected officials, appointees, Bankers &amp; the Civil Servants a free fraud hand.",Unauthorized Deduction,Unknown,169,296,34
1743611214524039549,Sat Jan 06 12:31:22 +0000 2024,Eziokwu bụ Ndụ,The Yoruba Man that has been defrauding Black American women and Charitable Organisations has finally been Arrested in Ghana. https://t.co/GfGk238K7Q,Unauthorized Deduction,Unknown,93,180,18
1744066142698692970,Sun Jan 07 18:39:06 +0000 2024,ARISE NEWS,"The Ministry Of Humanitarian Affairs Has Become An ‘Unhumanitarian Theatre’ Of Fraudulent Practices

There is no legality in transferring public funds into private purses. A responsible government will probe such ministry and put a stop to programs that have become a pipe for https://t.co/bEH7SaIw8V",Unauthorized Deduction,Unknown,373,534,35
1742113433179332861,Tue Jan 02 09:19:44 +0000 2024,Dr Sneaker Nyame,"EL dey sit 200 thousand Ghana cedis lawsuit top.… and trust me you will win simple. They put the evidence out themselves; this was premeditated. A well planned theft, pure evidentiary proof that they stole your  property.",General Complaint,Unknown,64,467,5
